"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"0500000US33005","Cheshire County, New Hampshire","76610","*****","71795","250","517","144","102","48","512","239","14","16","532","262","3138","386","858","207","2280","340",
"0500000US33007","Coos County, New Hampshire","31430","*****","29979","124","634","139","25","32","160","31","1","3","48","34","583","165","298","115","285","124",
"0500000US33009","Grafton County, New Hampshire","90836","*****","81662","374","1057","183","209","84","3082","241","55","54","693","195","4078","435","1729","353","2349","296",
"0500000US33011","Hillsborough County, New Hampshire","422733","*****","358618","1656","10912","871","604","201","17708","695","64","72","7716","1083","27111","1830","14276","1636","12835","1238",
"0500000US33013","Merrimack County, New Hampshire","153918","*****","141787","394","2451","269","407","176","2986","327","31","31","799","263","5457","527","2221","382","3236","449",
"0500000US33015","Rockingham County, New Hampshire","315169","*****","290277","1330","2814","386","155","108","6466","484","67","52","3363","826","12027","1294","6288","1267","5739","546",
"0500000US33017","Strafford County, New Hampshire","130965","*****","117587","586","1445","294","64","39","3908","366","98","142","1078","356","6785","706","2625","584","4160","498",
"0500000US33019","Sullivan County, New Hampshire","43356","*****","41042","271","326","72","90","103","327","101","6","10","155","143","1410","317","462","243","948","157",
"0500000US34001","Atlantic County, New Jersey","274339","*****","164950","1403","37060","1171","917","430","21399","558","162","38","25069","1907","24782","2087","13572","1498","11210","1220",
"0500000US34003","Bergen County, New Jersey","953243","*****","593955","3815","54689","1480","2364","469","158543","1420","204","73","55942","3435","87546","3958","59839","2943","27707","2291",
"0500000US34005","Burlington County, New Jersey","461853","*****","312451","1712","76293","1564","907","422","25304","631","222","272","14899","1618","31777","2080","13105","1243","18672","1581",
"0500000US34007","Camden County, New Jersey","522581","*****","304112","1898","100874","1649","1118","452","30964","601","194","146","49271","2736","36048","2363","20462","2217","15586","1546",
"0500000US34009","Cape May County, New Jersey","95456","*****","83363","688","3601","376","66","77","764","140","0","32","2865","682","4797","757","2219","631","2578","500",
"0500000US34011","Cumberland County, New Jersey","153588","*****","86989","1680","29168","1119","1413","402","2390","269","32","43","15756","1807","17840","1720","12599","1543","5241","897",
"0500000US34013","Essex County, New Jersey","853374","*****","302714","4028","322188","2727","2553","460","48695","923","295","160","98821","4099","78108","4105","53701","3913","24407","2139",
